City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
225,75,JP,1619619418,63,35.1333,140.3,66.99,24.16
226,97,BY,1619619419,53,52.6333,29.7333,48.04,5.75
227,100,CN,1619619419,85,27.3167,103.7167,47.23,2.33
228,63,BR,1619619420,70,-2.7469,-42.8264,85.44,7.94
229,63,RU,1619619420,62,52.0833,59.725,51.06,11.43
230,75,RU,1619619421,50,55.7503,38.0042,50.0,8.95
231,75,GQ,1619619422,74,3.4568,8.5547,82.4,8.05
232,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
233,22,IN,1619619423,35,27.9167,96.1667,79.97,5.59
234,98,AU,1619619423,87,-22.0016,148.0466,64.22,6.24
235,0,US,1619619424,93,34.6391,-120.4579,52.0,4.61
236,40,BR,1619619424,65,-22.9597,-44.0406,78.8,2.3
237,7,CU,1619619425,48,20.3433,-77.1167,84.29,13.04
238,100,HK,1619619166,92,22.2855,114.1577,75.0,7.58
239,83,RU,1619619426,90,45.0503,136.6092,41.13,6.31
240,66,GL,1619619426,83,72.7868,-56.1549,30.49,16.11
241,0,IL,1619619427,49,31.61,34.7642,75.99,3.0
242,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
243,0,CL,1619619428,68,-18.475,-70.3042,68.0,2.3
244,90,CO,1619619428,66,11.7751,-72.4445,82.31,12.12
245,75,GH,1619619376,79,5.7947,0.8973,84.2,11.5
246,40,RU,1619619429,58,47.26,39.87,55.99,6.71
247,100,RU,1619619430,59,51.1567,82.195,60.44,2.57
248,75,JP,1619619430,68,35.7333,140.8333,64.99,9.22
249,0,IS,1619619301,61,63.8424,-22.4338,46.4,18.41
250,75,LR,1619619375,62,6.3005,-10.7969,89.6,8.05
251,90,CA,1619619432,86,63.7506,-68.5145,28.4,11.5
252,99,BO,1619619432,77,-19.8,-63.2167,64.4,5.64
253,96,RU,1619619234,90,50.6789,156.125,33.78,10.31
254,99,AR,1619619433,69,-38.5473,-58.7368,69.01,3.0
255,6,BR,1619619242,64,-18.2494,-43.6003,72.57,4.92
256,100,CN,1619619434,23,42.2683,118.9636,50.59,6.78
257,2,ZA,1619619435,49,-33.0117,17.9442,69.8,18.41
258,100,ID,1619619435,91,-7.3515,108.111,72.79,1.57
259,53,PE,1619619436,69,-5.5569,-80.8222,71.85,12.1
260,0,ZA,1619619436,65,-33.5906,26.891,71.46,16.49
261,12,NA,1619619437,20,-20.4637,16.6477,82.72,8.28
262,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
263,20,MY,1619619438,89,6.1978,102.171,82.4,1.88
264,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
265,1,US,1619619439,50,39.0062,-77.4286,79.0,6.91
266,100,PE,1619619439,97,-5.2269,-75.6753,73.51,1.54
267,0,NC,1619619440,76,-20.9667,164.7,65.59,5.08
268,20,AO,1619619440,66,-5.55,12.2,89.6,8.05
269,0,NA,1619619441,66,-26.6481,15.1594,69.21,20.6
270,86,RU,1619619441,87,62.55,155.55,10.15,3.83
271,100,GB,1619619442,59,52.2333,-2.55,51.01,5.99
272,96,CA,1619619443,57,55.1001,-105.2842,19.4,4.61
273,75,BR,1619619443,67,-8.1642,-70.3536,79.38,4.5
274,0,DE,1619619444,32,51.0667,13.0167,66.0,3.44
275,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
276,40,CK,1619619445,83,-21.2078,-159.775,80.6,5.75
277,75,PT,1619619445,68,38.5167,-28.7,66.2,16.11
278,1,US,1619619446,87,38.421,-121.4238,55.0,1.21
279,75,BR,1619619446,66,-6.4781,-35.4339,87.8,14.97
280,10,AU,1619619447,79,-33.9,148.1667,52.54,3.69
281,0,MX,1619619448,69,30.4833,-115.95,55.09,4.25
282,84,CA,1619619448,86,60.7522,-137.5108,15.8,2.55
283,100,JP,1619619449,78,43.3236,145.575,41.09,10.0
284,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
285,0,GE,1619619450,34,41.9563,42.9566,78.8,8.05
286,75,LK,1619619450,100,6.1241,81.1185,78.8,2.3
287,0,KZ,1619619451,28,42.4252,68.795,82.4,4.47
288,28,MV,1619619451,66,2.6708,72.8944,83.66,4.59
289,100,KZ,1619619452,35,44.1667,52.1167,73.47,15.5
290,89,ID,1619619453,89,-3.3667,135.4833,77.23,3.51
291,40,ZA,1619619246,22,-29.1211,26.214,78.8,13.8
292,76,PT,1619619290,78,39.05,-27.9833,58.95,16.69
293,26,ER,1619619454,58,13.9297,41.6925,89.65,10.38
294,100,GB,1619619454,65,51.3813,1.3862,51.01,5.01
295,0,ZA,1619619455,77,-33.918,25.5701,68.0,9.22
296,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
297,97,RU,1619619456,40,50.6309,38.6903,51.94,10.07
